seed,success,failure,place_err_m,policy_ms_mean,policy_ms_p95
0,True,,0.019259741384845652,2.457402233267203,2.755504776723681
1,False,a_grasp_miss,0.21490210457720138,2.2920910152606666,2.6469652308151117
2,True,,0.0010353779292110801,2.5033372675534338,3.6764300661161418
3,True,,0.013114799984945767,2.292854489060119,2.537524863146241
4,False,handoff_miss,0.12254587493199963,2.302377490559593,2.311095013283193
5,False,place_off_target,0.037716138124746834,2.3585542454384267,2.4268001550808522
6,True,,0.007948530702378396,2.5456369924359024,4.00694478303194
7,True,,0.008866695746398211,2.2596280043944716,2.675400092266499
8,True,,0.011723570710357074,2.3589430027641356,2.7275651460513455
9,True,,0.011951878673555717,2.4898882454726845,4.5806300593540055
10,False,a_grasp_miss,0.19225450801900712,2.2043927444610745,2.371650072745973
11,True,,0.0048763724012831555,2.376086002914235,2.287710248492655
12,False,a_grasp_miss,0.23371198093526074,2.2835874930024147,2.356610004790127
13,False,place_off_target,0.042638064619449856,2.4687530007213354,3.3142399974167236
14,True,,0.006534505000939318,2.7575507399160415,3.258439619094127
15,False,a_grasp_miss,0.1918010188378159,2.3537115089129657,2.621014998294409
16,True,,0.00841923211684997,2.631309265270829,4.383830050937825
17,True,,0.012567166802707967,2.312653751578182,2.7090749004855748
18,True,,0.007914980086122807,2.2228929947596043,2.3701501078903675
19,False,a_grasp_miss,0.20692115872483882,2.219238996040076,2.450794936157763
