seed,success,failure,place_err_m,policy_ms_mean,policy_ms_p95
0,True,,0.01894769924942817,3.016038502100855,4.74629020318388
1,False,a_grasp_miss,0.21526543105236282,2.7700707397889346,4.737310041673461
2,True,,0.00252300307737787,2.4667695129755884,2.6243800763040777
3,True,,0.013430457770274726,2.6808372512459755,2.403900143690407
4,False,handoff_miss,0.12279166980824059,2.597240483155474,2.6943954173475455
5,False,place_off_target,0.03982346150711581,2.5063122413121164,2.650880138389765
6,True,,0.008483999228011142,2.468946756562218,2.533834939822552
7,True,,0.008382137914922911,2.4715434992685914,2.553294762037692
8,True,,0.007476089326953692,2.7952672366518527,4.836094984784705
9,True,,0.013736919060613313,2.6909177540801466,2.309450018219649
10,False,a_grasp_miss,0.1931565245053398,2.6073570107109845,2.239195257425308
11,True,,0.005632163443259453,2.8394702554214746,4.944515088573089
12,False,a_grasp_miss,0.23413653472225263,2.56916900514625,2.70411521196364
13,True,,0.02693865381445312,2.4937342572957277,2.339900098741052
14,True,,0.006221167490137233,2.610993254929781,2.6672349311411363
15,False,a_grasp_miss,0.18366776147177757,2.8845317487139255,4.825580026954407
16,True,,0.007173103962278208,2.696642760420218,3.172655007801944
17,True,,0.02269073425939321,2.719923014519736,2.6286298176273606
18,True,,0.009345071610972725,2.757103512994945,5.129660060629247
19,False,a_grasp_miss,0.20636553117476059,2.512483992613852,2.4986747186630964
