seed,success,failure,place_err_m,policy_ms_mean,policy_ms_p95
0,True,,0.019451140209884706,2.689401503885165,3.334705322049557
1,True,,0.02149280367555385,3.003575751790777,4.920850018970658
2,True,,0.00374427708333816,2.7289694838691503,3.3467501401900597
3,True,,0.01340675175577348,2.789366244105622,3.2360649667680126
4,False,handoff_miss,0.12577127769516008,2.9944722505751997,5.826069950126106
5,False,handoff_miss,0.14771515188024084,2.5524652341846377,2.5881196837872245
6,True,,0.0060022592229532325,2.4757350084837526,2.9643801972269985
7,True,,0.01060905737403428,2.4780084926169366,2.820334932766854
8,False,a_grasp_miss,0.20884959392562266,2.800286734709516,5.465974682010692
9,True,,0.011037504551210237,2.6289817539509386,3.1621796777471776
10,True,,0.0045002392856081305,2.4409012391697615,2.4707200471311794
11,True,,0.009323099239278182,2.6760092575568706,4.129699966870241
12,False,a_grasp_miss,0.23427592918701803,2.403562009567395,2.5682051898911555
13,True,,0.02942323325165396,2.712865243665874,2.956399833783507
14,True,,0.00865030825210973,2.5161337526515126,2.4555250536650393
15,False,a_grasp_miss,0.18129876099060382,2.6901119796093553,4.789514816366136
16,True,,0.00704863454144048,2.527063995366916,3.0296450015157443
17,True,,0.009774871139553108,2.6333182503003627,2.9679102357476927
18,True,,0.005598354641425645,2.63114326284267,2.677070046775034
19,False,a_grasp_miss,0.20373881771166388,2.4055532412603498,2.5741899153217656
